gene,ctrl_1,ctrl_2,ctrl_3,lps_1,lps_2,lps_3
Gm7593,0,0,0,0,0,0
Tram1,6499,4167,4188,2069,1735,1544
Lactb2,1677,1192,1098,451,381,403
Gm38319,4,16,3,2,2,8
Xkr9,0,1,0,0,0,6
Gm26273,0,0,0,0,0,0
Gm5523,0,0,0,0,0,0
Gm36947,0,0,0,0,0,0
7SK|ENSMUSG00002075174.1,0,0,0,0,0,0
Gm37400,0,0,0,0,0,0
Eya1,680,398,401,109,67,43
ENSMUSG00002075819,0,0,0,1,0,0
Gm37444,0,0,0,0,5,0
Gm9947,0,0,0,0,0,0
Msc,0,0,0,0,0,0
Gm37412,0,0,0,0,0,0
Smt3h2-ps4,2,0,0,0,0,0
Rpl5-ps1,5,5,12,12,5,8
Trpa1,1,0,0,0,0,0
Gm26345,0,0,0,0,0,0
Gm10566,1,1,4,1,1,1
Kcnb2,0,0,0,0,0,0
Gm38116,0,0,0,0,0,0
Gm37138,0,0,0,0,0,0
Gm25227,0,0,0,0,0,0
Gm25168,0,0,0,0,0,0
Gm6060,0,0,0,0,0,0
Gm28669,0,0,0,0,0,0
Terf1,339,238,227,139,117,146
Gm37509,0,0,0,0,0,0
Sbspon,0,0,0,0,0,0
7SK|ENSMUSG00002076565.1,0,0,0,0,0,0
Gm7634,0,0,0,0,0,0
4930444P10Rik,0,0,0,0,0,0
Rpl7,19921,13176,13537,16575,14589,12917
Rdh10,695,463,499,271,233,206
Gm38249,0,0,0,0,0,0
Gm28095,0,0,0,0,0,0
Stau2,813,520,542,534,455,407
Gm7568,0,0,0,0,0,0
Ube2w,979,542,605,928,680,653
Gm38342,0,0,0,0,0,3
Eloc,1492,962,1042,1698,1247,1249
D030040B21Rik,0,0,0,0,0,0
Idi1-ps5,0,0,0,0,0,0
Tmem70,1044,591,670,831,673,634
Ly96,239,169,170,457,418,362
Gm29649,0,0,0,0,0,0
Gm5828,1,1,1,5,1,5
Gm28376,0,0,0,0,0,0
4921511E07Rik,0,0,0,0,0,0
Jph1,5,1,8,2,5,11
Gm28783,0,0,0,0,0,0
Gdap1,2,6,4,0,1,1
Gm28784,0,0,0,0,0,0
Gm28785,0,0,0,0,0,0
Gm5251,0,0,0,0,0,0
Rbm6-ps1,4,2,3,4,3,3
Gm6075,0,0,0,0,0,0
Gm25166,0,0,0,0,0,0
Pi15,0,0,0,0,0,0
Gm28154,0,0,0,0,0,0
Gm16070,0,0,0,0,0,0
Crispld1,0,0,0,0,0,0
Gm28153,0,0,0,0,0,0
Gm7690,1,0,0,0,0,0
Gm18775,0,0,0,0,0,0
Gm17969,0,0,0,0,0,0
Gm28756,0,0,0,0,0,0
Gm28755,0,0,0,0,0,0
Gm45784,0,0,0,0,0,0
Crisp4,0,0,0,0,0,0
Defb44-ps,0,0,0,0,0,0
Defb18,0,0,0,0,0,0
Defb41,0,0,0,0,0,0
Gm17837,2,0,1,0,0,2
Gm5252,0,0,0,0,0,0
Gm24075,0,0,0,0,0,0
Gm28343,0,0,0,0,0,0
